,symbol,historical
0,AAPL,"{'date': '2020-07-02', 'open': 367.85, 'high': 370.47, 'low': 363.71, 'close': 364.11, 'adjClose': 364.11, 'volume': 28510367.0, 'unadjustedVolume': 28510367.0, 'change': -3.74, 'changePercent': -1.017, 'vwap': 366.09667, 'label': 'July 02, 20', 'changeOverTime': -0.01017}"
1,AAPL,"{'date': '2020-07-01', 'open': 365.12, 'high': 367.36, 'low': 363.91, 'close': 364.11, 'adjClose': 364.11, 'volume': 27684300.0, 'unadjustedVolume': 27684300.0, 'change': -1.01, 'changePercent': -0.277, 'vwap': 365.12667, 'label': 'July 01, 20', 'changeOverTime': -0.00277}"
2,AAPL,"{'date': '2020-06-30', 'open': 360.08, 'high': 365.98, 'low': 360.0, 'close': 364.8, 'adjClose': 364.8, 'volume': 35055800.0, 'unadjustedVolume': 35055800.0, 'change': 4.72, 'changePercent': 1.311, 'vwap': 363.59333, 'label': 'June 30, 20', 'changeOverTime': 0.01311}"
3,AAPL,"{'date': '2020-06-29', 'open': 353.25, 'high': 362.17, 'low': 351.28, 'close': 361.78, 'adjClose': 361.78, 'volume': 32661500.0, 'unadjustedVolume': 32661500.0, 'change': 8.53, 'changePercent': 2.415, 'vwap': 358.41, 'label': 'June 29, 20', 'changeOverTime': 0.02415}"
4,AAPL,"{'date': '2020-06-26', 'open': 364.41, 'high': 365.32, 'low': 353.02, 'close': 353.63, 'adjClose': 353.63, 'volume': 51314200.0, 'unadjustedVolume': 51314200.0, 'change': -10.78, 'changePercent': -2.958, 'vwap': 357.32333, 'label': 'June 26, 20', 'changeOverTime': -0.02958}"
5,AAPL,"{'date': '2020-06-25', 'open': 360.7, 'high': 365.0, 'low': 357.57, 'close': 364.84, 'adjClose': 364.84, 'volume': 34380600.0, 'unadjustedVolume': 34380600.0, 'change': 4.14, 'changePercent': 1.148, 'vwap': 362.47, 'label': 'June 25, 20', 'changeOverTime': 0.01148}"
6,AAPL,"{'date': '2020-06-24', 'open': 365.0, 'high': 368.79, 'low': 358.52, 'close': 360.06, 'adjClose': 360.06, 'volume': 48155800.0, 'unadjustedVolume': 48155800.0, 'change': -4.94, 'changePercent': -1.353, 'vwap': 362.45667, 'label': 'June 24, 20', 'changeOverTime': -0.01353}"
7,AAPL,"{'date': '2020-06-23', 'open': 364.0, 'high': 372.38, 'low': 362.27, 'close': 366.53, 'adjClose': 366.53, 'volume': 53038900.0, 'unadjustedVolume': 53038900.0, 'change': 2.53, 'changePercent': 0.695, 'vwap': 367.06, 'label': 'June 23, 20', 'changeOverTime': 0.00695}"
8,AAPL,"{'date': '2020-06-22', 'open': 351.34, 'high': 359.46, 'low': 351.15, 'close': 358.87, 'adjClose': 358.87, 'volume': 33861300.0, 'unadjustedVolume': 33861300.0, 'change': 7.53, 'changePercent': 2.143, 'vwap': 356.49333, 'label': 'June 22, 20', 'changeOverTime': 0.02143}"
9,AAPL,"{'date': '2020-06-19', 'open': 354.64, 'high': 356.56, 'low': 345.15, 'close': 349.72, 'adjClose': 349.72, 'volume': 66119000.0, 'unadjustedVolume': 66119000.0, 'change': -4.92, 'changePercent': -1.387, 'vwap': 350.47667, 'label': 'June 19, 20', 'changeOverTime': -0.01387}"
10,AAPL,"{'date': '2020-06-18', 'open': 351.41, 'high': 353.45, 'low': 349.22, 'close': 351.73, 'adjClose': 351.73, 'volume': 24205100.0, 'unadjustedVolume': 24205100.0, 'change': 0.32, 'changePercent': 0.091, 'vwap': 351.46667, 'label': 'June 18, 20', 'changeOverTime': 0.00091}"
11,AAPL,"{'date': '2020-06-17', 'open': 355.15, 'high': 355.4, 'low': 351.09, 'close': 351.59, 'adjClose': 351.59, 'volume': 28532000.0, 'unadjustedVolume': 28532000.0, 'change': -3.56, 'changePercent': -1.002, 'vwap': 352.69333, 'label': 'June 17, 20', 'changeOverTime': -0.01002}"
12,AAPL,"{'date': '2020-06-16', 'open': 351.46, 'high': 353.2, 'low': 344.72, 'close': 352.08, 'adjClose': 352.08, 'volume': 41357200.0, 'unadjustedVolume': 41357200.0, 'change': 0.62, 'changePercent': 0.176, 'vwap': 350.0, 'label': 'June 16, 20', 'changeOverTime': 0.00176}"
13,AAPL,"{'date': '2020-06-15', 'open': 333.25, 'high': 345.68, 'low': 332.58, 'close': 342.99, 'adjClose': 342.99, 'volume': 34702200.0, 'unadjustedVolume': 34702200.0, 'change': 9.74, 'changePercent': 2.923, 'vwap': 340.41667, 'label': 'June 15, 20', 'changeOverTime': 0.02923}"
14,AAPL,"{'date': '2020-06-12', 'open': 344.72, 'high': 347.8, 'low': 334.22, 'close': 338.8, 'adjClose': 338.8, 'volume': 50001500.0, 'unadjustedVolume': 50001500.0, 'change': -5.92, 'changePercent': -1.717, 'vwap': 340.27333, 'label': 'June 12, 20', 'changeOverTime': -0.01717}"
